lon,lat,preferred_name
153.076889,-27.4507331,R T Edwards
115.8172378,-31.9023628,Austral Clay Bricks and Pavers
152.928534,-27.599015,National Masonry Pty Ltd
138.7302757,-34.7882596,PGH Bricks and Pavers
-95.6159948,37.0274461,C & A Clark Tipper Hire
153.1665667,-27.4378258,Larry McFarlane Operations P/L
153.3878865,-27.9754239,Hymix
153.2526623,-27.6457029,Mount Cotton Concrete
150.9078962,-31.0920881,Reece Pty Ltd
152.9432129,-27.5634804,Stoddart (SE Qld) PL
115.8023517,-31.868614,Structerre WBA Pty Ltd
153.2541705,-27.5245364,Cleveland Mitre 10 Hardware
-95.6390221,37.057223,B&D Australia
-95.364473,29.8724032,Viking Rentals
-95.2835155,29.8922766,Global Waste Services
153.0590457,-27.3772654,Higgins Insulation Pty Ltd
-91.172265,30.4076057,EA & S Plaster Co Pty Ltd
153.2841675,-27.6248752,Redland Bay Roof Trusses P/L
153.0556581,-27.3812427,Bretts Timber Pty Ltd
153.0320396,-27.357512,Smartbuilt Brisbane Pty Ltd
150.902834,-31.0954713,Neumann Steel Pty Ltd
152.92237,-27.5988589,Bristile Roofing (East Coast) Pty Ltd
153.222191,-27.738746,Civic Shower Screens & Wardrobes T/A
152.9432129,-27.5634804,Stoddart Energy Systems Pty Ltd
NA,NA,Aussie Timber Stairs
153.2010977,-27.5296736,Urban Tile Company
-95.3798237,29.7535432,Trend Windows & Doors
